Participant;Item;Item_Type;Correct_Response;Part_Response;RT_ms;Condition;Response
MO41;pakket;filler;word;word;0,24;i;correct
MF86;last;filler;word;word;0,439999858;i;correct
NN37;yoga;filler;word;word;0,775;ie;correct
GT29;bravo;filler;word;word;0,964999999;ie;correct
TY61;normaal;filler;word;word;1,375000007;i;correct
KF77;mentaal;filler;word;word;1,464999979;i;correct
MF86;normaal;filler;word;word;1,649999991;i;correct
DX27;lag;filler;word;word;1,665;i;correct
DX27;gevaar;filler;word;word;1,9;i;correct
KE71;los;filler;word;word;1,974999992;ie;correct
TX60;last;filler;word;word;2,274999861;i;correct
NN33;soldaat;filler;word;word;2,924999979;ie;correct
MU27;paard;filler;word;word;3,525000007;ie;correct
LF24;donker;filler;word;word;3,694999992;ie;correct
SV59;pakket;filler;word;word;3,89;ie;correct
FX81;kantoor;filler;word;word;4,580000008;ie;correct
MH99;mosterd;filler;word;word;4,720000084;i;correct
TY61;dokter;filler;word;word;4,774999994;i;correct
BC71;roman;filler;word;word;5,02500002;ie;correct
BU67;adel;filler;word;word;5,564999999;i;correct
FD05;pot;filler;word;word;6,395000004;ie;correct
NX81;paard;filler;word;word;6,769999993;i;correct
FF20;donker;filler;word;word;7,074999972;ie;correct
QX03;bravo;filler;word;word;7,91;i;correct
CP39;zon;filler;word;word;8,150000125;i;correct
MU27;foto;filler;word;word;9,46999999;ie;correct
BU67;roman;filler;word;word;9,93999996;i;correct
FX81;bravo;filler;word;word;10,24499998;ie;correct
GT29;normaal;filler;word;word;10,45;ie;correct
NN33;los;filler;word;word;10,775;ie;correct
NN37;droog;filler;word;word;10,91;ie;correct
TX31;roos;filler;word;word;11,035;i;correct
NN33;aap;filler;word;word;12,83999998;ie;correct
LO27;water;filler;word;word;13,37000006;i;correct
DE18;kantoor;filler;word;word;13,595;ie;correct
MO41;roos;filler;word;word;13,76;i;correct
MT15;zakdoek;filler;word;word;14,03999998;i;correct
QX03;pakket;filler;word;word;14,10999999;i;correct
CF70;los;filler;word;word;14,20500001;ie;correct
NX92;raadsel;filler;word;word;15,25499998;i;correct
CF70;gevaar;filler;word;word;15,46000002;ie;correct
KE71;koorts;filler;word;word;15,79;ie;correct
TY61;vak;filler;word;word;15,955;i;correct
GF66;kapsel;filler;word;word;16,08999999;ie;correct
MF88;aanval;filler;word;non-word;16,16999999;i;incorrect
DX27;raak;filler;word;word;16,185;i;correct
BT89;roos;filler;word;word;16,33;ie;correct
BC71;plank;filler;word;word;16,37500001;ie;correct
FF20;legaal;filler;word;word;16,86500001;ie;correct
KF72;plank;filler;word;word;17,295;i;correct
CF47;verstand;filler;word;word;17,90000001;i;correct
MT15;mosterd;filler;word;word;18,44999997;i;correct
XX28;tafel;filler;word;word;18,58999999;i;correct
FF20;doof;filler;word;word;18,86999997;ie;correct
IU15;pakket;filler;word;word;19,235;ie;correct
FG25;aanval;filler;word;non-word;19,325;i;incorrect
FG25;mosterd;filler;word;word;19,52999999;i;correct
MF96;zand;filler;word;word;19,69500002;i;correct
MF88;staal;filler;word;word;20,09000001;i;correct
CF47;tafel;filler;word;word;20,235;i;correct
SV59;raak;filler;word;word;20,44;ie;correct
IU15;dokter;filler;word;word;20,605;ie;correct
UU48;taal;filler;word;word;22,29000005;ie;correct
FF20;koorts;filler;word;word;22,38500002;ie;correct
QX03;pot;filler;word;word;22,665;i;correct
FD05;boot;filler;word;word;22,95000001;ie;correct
MF88;lag;filler;word;word;23,57500003;i;correct
FX81;afdruk;filler;word;word;23,61500001;ie;correct
GT29;hoofdstad;filler;word;word;23,76000001;ie;correct
QX03;koorts;filler;word;word;23,89499999;i;correct
BD00;tafel;filler;word;word;23,94500002;ie;correct
NN37;normaal;filler;word;word;24,155;ie;correct
FE43;klok;filler;word;word;24,285;i;correct
NN33;voordeel;filler;word;word;24,42500001;ie;correct
QX03;legaal;filler;word;word;24,92499999;i;correct
QX03;ballon;filler;word;word;25,43000001;i;correct
NN33;yoga;filler;word;word;25,455;ie;correct
FF38;last;filler;word;word;25,49499999;ie;correct
NX81;baas;filler;word;word;25,545;i;correct
JU99;pakket;filler;word;word;25,79999994;i;correct
NN37;taal;filler;word;word;26,825;ie;correct
FD05;kapsel;filler;word;word;27,06999998;ie;correct
MD88;mosterd;filler;word;word;27,09;ie;correct
MF88;soldaat;filler;word;word;27,42999999;i;correct
FF38;doof;filler;word;word;27,46499999;ie;correct
MO41;doof;filler;word;word;27,765;i;correct
MF88;gevaar;filler;word;word;27,89;i;correct
JU99;foto;filler;word;word;28,31500024;i;correct
MF88;dokter;filler;word;word;28,41000003;i;correct
MT15;boot;filler;word;word;28,98999996;i;correct
LO27;taal;filler;word;word;29,64499989;i;correct
KE71;yoga;filler;word;word;29,70000001;ie;correct
