Participant;Item;RT_ms;Step;Iteration;Voice;Condition;Response;VoiceCond
BC71;bid;348,235;1;1;female;ie;i;female_ie
BC71;bid;330,33;4;1;female;ie;i;female_ie
BC71;bid;725,965;3;1;female;ie;i;female_ie
BC71;bid;315,4899999;2;1;female;ie;i;female_ie
BC71;bid;350,2;1;2;female;ie;i;female_ie
BC71;bid;394,865;4;2;female;ie;i;female_ie
BC71;bid;268,325;3;2;female;ie;i;female_ie
BC71;bid;279,885;2;2;female;ie;i;female_ie
BC71;bid;322,525;1;3;female;ie;i;female_ie
BC71;bid;218,955;4;3;female;ie;i;female_ie
BC71;bid;286,42;3;3;female;ie;i;female_ie
BC71;bid;259,065;2;3;female;ie;i;female_ie
BC71;bid;467,095;1;4;female;ie;i;female_ie
BC71;bid;376,8349999;4;4;female;ie;i;female_ie
BC71;bid;695,57;3;4;female;ie;i;female_ie
BC71;bid;423,115;2;4;female;ie;i;female_ie
BC71;bid;481,47;1;5;female;ie;i;female_ie
BC71;bid;680,595;4;5;female;ie;ie;female_ie
BC71;bid;351,45;3;5;female;ie;i;female_ie
BC71;bid;300,375;2;5;female;ie;i;female_ie
BC71;bid;332,355;1;6;female;ie;i;female_ie
BC71;bid;256,93;4;6;female;ie;i;female_ie
BC71;bid;333,9199999;3;6;female;ie;i;female_ie
BC71;bid;337,175;2;6;female;ie;i;female_ie
BC71;bid;412,805;1;7;female;ie;i;female_ie
BC71;bid;402,755;4;7;female;ie;i;female_ie
BC71;bid;258,05;3;7;female;ie;i;female_ie
BC71;bid;324,745;2;7;female;ie;i;female_ie
BC71;bid;265,49;1;8;female;ie;i;female_ie
BC71;bid;247,33;4;8;female;ie;i;female_ie
BC71;bid;171,9;3;8;female;ie;i;female_ie
BC71;bid;324,95;2;8;female;ie;i;female_ie
BC71;kist;481,655;4;1;female;ie;i;female_ie
BC71;kist;655,435;3;1;female;ie;i;female_ie
BC71;kist;624,565;2;1;female;ie;i;female_ie
BC71;kist;327,645;1;1;female;ie;i;female_ie
BC71;kist;282,1;4;2;female;ie;i;female_ie
BC71;kist;436,535;3;2;female;ie;i;female_ie
BC71;kist;298,235;2;2;female;ie;i;female_ie
BC71;kist;308,215;1;2;female;ie;i;female_ie
BC71;kist;206,735;4;3;female;ie;i;female_ie
BC71;kist;280,9299999;3;3;female;ie;i;female_ie
BC71;kist;270,54;2;3;female;ie;i;female_ie
BC71;kist;232,3649999;1;3;female;ie;i;female_ie
BC71;kist;232,505;4;4;female;ie;i;female_ie
BC71;kist;311;3;4;female;ie;i;female_ie
BC71;kist;404,52;2;4;female;ie;i;female_ie
BC71;kist;186,85;1;4;female;ie;i;female_ie
BC71;kist;362,175;4;5;female;ie;i;female_ie
BC71;kist;461,22;3;5;female;ie;i;female_ie
BC71;kist;298,04;2;5;female;ie;i;female_ie
BC71;kist;205,465;1;5;female;ie;i;female_ie
BC71;kist;339,435;4;6;female;ie;i;female_ie
BC71;kist;548,7;3;6;female;ie;i;female_ie
BC71;kist;294,62;2;6;female;ie;i;female_ie
BC71;kist;199,11;1;6;female;ie;i;female_ie
BC71;kist;354,045;4;7;female;ie;i;female_ie
BC71;kist;668,31;3;7;female;ie;i;female_ie
BC71;kist;419,955;2;7;female;ie;i;female_ie
BC71;kist;490,635;1;7;female;ie;i;female_ie
BC71;kist;154,04;4;8;female;ie;i;female_ie
BC71;kist;280,215;3;8;female;ie;i;female_ie
BC71;kist;225,79;2;8;female;ie;i;female_ie
BC71;kist;350,835;1;8;female;ie;i;female_ie
BC71;lig;545,99;4;1;female;ie;i;female_ie
BC71;lig;320,315;3;1;female;ie;i;female_ie
BC71;lig;384,84;1;1;female;ie;i;female_ie
BC71;lig;316,385;2;1;female;ie;i;female_ie
BC71;lig;143,915;4;2;female;ie;i;female_ie
BC71;lig;338,26;3;2;female;ie;i;female_ie
BC71;lig;310,94;1;2;female;ie;i;female_ie
BC71;lig;259,47;2;2;female;ie;i;female_ie
BC71;lig;411,905;4;3;female;ie;i;female_ie
BC71;lig;196,875;3;3;female;ie;i;female_ie
BC71;lig;124,175;1;3;female;ie;i;female_ie
BC71;lig;316,095;2;3;female;ie;i;female_ie
BC71;lig;1072,99;4;4;female;ie;i;female_ie
BC71;lig;282,6;3;4;female;ie;i;female_ie
BC71;lig;405,18;1;4;female;ie;i;female_ie
BC71;lig;279,435;2;4;female;ie;i;female_ie
BC71;lig;394,76;4;5;female;ie;i;female_ie
BC71;lig;229,095;3;5;female;ie;i;female_ie
BC71;lig;322,045;1;5;female;ie;i;female_ie
BC71;lig;469,465;2;5;female;ie;i;female_ie
BC71;lig;580,145;4;6;female;ie;ie;female_ie
BC71;lig;270,525;3;6;female;ie;i;female_ie
BC71;lig;322,585;1;6;female;ie;i;female_ie
BC71;lig;433,44;2;6;female;ie;ie;female_ie
BC71;lig;255,425;4;7;female;ie;ie;female_ie
BC71;lig;281,34;3;7;female;ie;ie;female_ie
BC71;lig;243,68;1;7;female;ie;i;female_ie
BC71;lig;354,37;2;7;female;ie;ie;female_ie
BC71;lig;423,315;4;8;female;ie;ie;female_ie
BC71;lig;382,925;3;8;female;ie;ie;female_ie
BC71;lig;424,94;1;8;female;ie;i;female_ie
BC71;lig;391,275;2;8;female;ie;ie;female_ie
BC71;vis;1279,14;1;1;female;ie;i;female_ie
BC71;vis;323,915;4;1;female;ie;i;female_ie
BC71;vis;577,5;2;1;female;ie;i;female_ie
BC71;vis;305,315;3;1;female;ie;i;female_ie
BC71;vis;301,28;1;2;female;ie;i;female_ie
BC71;vis;372,125;4;2;female;ie;i;female_ie
BC71;vis;303,965;2;2;female;ie;i;female_ie
BC71;vis;683,54;3;2;female;ie;i;female_ie
BC71;vis;TIME_ELAPSED;1;3;female;ie;i;female_ie
BC71;vis;228,325;4;3;female;ie;i;female_ie
BC71;vis;247;2;3;female;ie;i;female_ie
BC71;vis;222,435;3;3;female;ie;i;female_ie
BC71;vis;762,175;1;4;female;ie;i;female_ie
BC71;vis;309,865;4;4;female;ie;i;female_ie
BC71;vis;383,5;2;4;female;ie;i;female_ie
BC71;vis;591,475;3;4;female;ie;i;female_ie
BC71;vis;411,175;1;5;female;ie;i;female_ie
BC71;vis;309,195;4;5;female;ie;i;female_ie
BC71;vis;318,99;2;5;female;ie;i;female_ie
BC71;vis;215,02;3;5;female;ie;i;female_ie
BC71;vis;271,555;1;6;female;ie;i;female_ie
BC71;vis;228,105;4;6;female;ie;i;female_ie
BC71;vis;283,615;2;6;female;ie;i;female_ie
BC71;vis;257,125;3;6;female;ie;i;female_ie
BC71;vis;385,36;1;7;female;ie;i;female_ie
BC71;vis;534,66;4;7;female;ie;ie;female_ie
