ID;Stimulus;Type;Condition;F1;F2;F3;Duration
1;dikwijls;i;Canonical;414,1877;1978,037;2476,324;0,06283425
2;bink;i;Canonical;452,7006;1960,093;2523,469;0,0938815
3;pittig;i;Canonical;421,4696;1829,321;2507,064;0,06296648
4;single;i;Canonical;442,4278;2343,995;2711,872;0,07160477
5;bitter;i;Canonical;367,9895;1917,802;2650,292;0,05728096
6;vlinder;i;Canonical;461,1709;1825,089;2392,33;0,08989903
7;kikker;i;Canonical;430,7804;1987,136;2368,001;0,04646051
8;vergif;i;Canonical;397,2779;2149,808;2419,403;0,09073048
9;schilder;i;Canonical;423,8872;1854,904;2582,621;0,06633952
10;gids;i;Canonical;393,4725;2046,44;2558,887;0,09689198
11;ridder;i;Canonical;446,3391;1792,457;2540,229;0,09985494
12;ingang;i;Canonical;393,8559;2326,85;3116,927;0,14231562
13;winst;i;Canonical;368,6885;1893,827;2396,516;0,09179894
14;dinsdag;i;Canonical;438,651;1937,393;2609,991;0,10427925
15;winter;i;Canonical;492,9112;1649,28;2537,672;0,09719116
16;middag;i;Canonical;381,9016;1889,48;2334,475;0,06008249
17;dichter;i;Canonical;347,7423;2327,684;2874,783;0,06987714
18;vinger;i;Canonical;445,436;1865,592;2443,002;0,09534214
19;verschil;i;Canonical;381,0636;2087,898;2604,076;0,06934493
20;winkel;i;Canonical;439,3955;1933,464;2534,707;0,08741432
21;dikwijls;i;Pseudo;229,8624;2340,744;3229,376;0,14788623
22;bink;i;Pseudo;265,8001;2248,255;3316,613;0,07104701
23;pittig;i;Pseudo;243,083;2354,945;3377,434;0,24960634
24;single;i;Pseudo;312,1011;2416,019;3355,379;0,17703408
25;bitter;i;Pseudo;378,1409;2334,136;3414,424;0,14403474
26;vlinder;i;Pseudo;296,9112;2367,021;3298,448;0,17298895
27;kikker;i;Pseudo;236,2082;2332,53;3480,084;0,08762324
28;vergif;i;Pseudo;256,3978;2337,92;3448,14;0,16695449
29;schilder;i;Pseudo;259,0939;2328,134;3219,503;0,12135949
30;gids;i;Pseudo;272,1224;2369,498;3396,462;0,17963299
31;ridder;i;Pseudo;230,2727;2371,324;3212,399;0,19328927
32;ingang;i;Pseudo;258,4359;2280,461;3283,558;0,15935636
33;winst;i;Pseudo;355,3721;2359,194;3262,131;0,07977501
34;dinsdag;i;Pseudo;257,5338;2105,959;3104,117;0,18469469
35;winter;i;Pseudo;282,7587;2351,09;3325,378;0,17780961
36;middag;i;Pseudo;297,9157;2414,652;3342,827;0,11795173
37;dichter;i;Pseudo;250,0654;2360,977;3302,089;0,18390482
38;vinger;i;Pseudo;317,6825;2244,159;2848,102;0,09157953
39;verschil;i;Pseudo;288,0839;2326,173;3349,588;0,1552625
40;winkel;i;Pseudo;272,0888;2122,848;3067,868;0,12856476
