ID;Stimulus;Type;Condition;F1;F2;F3;Duration
1;visum;ie;Canonical;305,8908;2222,477;2799,071;0,10873964
2;actief;ie;Canonical;351,6332;2323,472;3127,381;0,06883727
3;knie;ie;Canonical;386,832;2501,21;3423,661;0,24719958
4;uniek;ie;Canonical;362,6826;2434,858;3299,373;0,07102189
5;diefstal;ie;Canonical;260,7938;2227,653;2942,307;0,06395127
6;titel;ie;Canonical;279,8007;2357,346;3405,658;0,08871702
7;fiets;ie;Canonical;273,045;2278,414;3247,202;0,06448147
8;zielig;ie;Canonical;328,8289;2309,462;2963,65;0,09321642
9;spiegel;ie;Canonical;286,1293;2381,734;3306,54;0,17976869
10;priester;ie;Canonical;275,9059;2376,921;3095,035;0,09634291
11;advies;ie;Canonical;273,543;2391,307;3384,113;0,11460431
12;techniek;ie;Canonical;456,1476;2495,21;3348,325;0,05966835
13;verlies;ie;Canonical;261,4364;2401,327;3328,216;0,1648425
14;brief;ie;Canonical;281,5318;2370,248;3250,677;0,15175718
15;vliegen;ie;Canonical;278,098;2354,432;3255,217;0,14553304
16;dienst;ie;Canonical;340,1784;2386,021;3262,875;0,099822
17;ziek;ie;Canonical;276,2025;2341,111;3176,468;0,07358499
18;schieten;ie;Canonical;256,5345;2369,778;3461,166;0,1311622
19;liever;ie;Canonical;248,1186;2351,501;3301,337;0,1476824
20;liefde;ie;Canonical;276,7896;2391,3;3383,792;0,11862464
21;visum;ie;Pseudo;421,5815;1824,866;2610,399;0,05995236
22;actief;ie;Pseudo;415,1035;1782,22;2482,184;0,07752605
23;knie;ie;Pseudo;435,9321;2048,125;2528,825;0,11416546
24;uniek;ie;Pseudo;409,8345;1983,726;2519,554;0,06849101
25;diefstal;ie;Pseudo;438,0043;1812,735;2686,871;0,06076605
26;titel;ie;Pseudo;525,2598;1786,768;2348,249;0,06225383
27;fiets;ie;Pseudo;455,0999;1751,127;2475,618;0,07632216
28;zielig;ie;Pseudo;488,1133;1690,633;2741,525;0,06613139
29;spiegel;ie;Pseudo;474,2567;1855,504;2443,174;0,06568249
30;priester;ie;Pseudo;446,951;1801,837;2627,932;0,0791569
31;advies;ie;Pseudo;425,0768;1850,382;2579,527;0,07870417
32;techniek;ie;Pseudo;433,6884;2096,461;2590,675;0,06123502
33;verlies;ie;Pseudo;458,3606;1839,04;2691,326;0,08102443
34;brief;ie;Pseudo;537,7472;1719,92;2476,596;0,09217543
35;vliegen;ie;Pseudo;455,4629;1954,229;2506,766;0,05455539
36;dienst;ie;Pseudo;432,8152;1967,611;2678,4;0,11640379
37;ziek;ie;Pseudo;494,6757;1934,821;2662,627;0,09210901
38;schieten;ie;Pseudo;510,06;1766,183;2505,109;0,06410751
39;liever;ie;Pseudo;508,8528;1717,777;2586,5;0,08020517
40;liefde;ie;Pseudo;448,7587;1770,872;2641,046;0,04323579
